deciding_feat,clitic,catib6,pos,gloss,prc3,prc2,prc1,prc0,per,asp,vox,mod,gen,num,stt,cas,enc0,rat
enc0:1p_dobj,nA,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,p,d,a,0,na
enc0:1p_poss,nA,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,p,d,g,0,na
enc0:1p_pron,nA,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,p,d,u,0,na
enc0:1s_dobj,ny,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,s,d,a,0,na
enc0:1s_poss,y,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,s,d,g,0,na
enc0:1s_pron,ny,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,s,d,u,0,na
enc0:1s_pron,y,NOM,pron,clitic,0,0,0,0,1,na,na,na,m,s,d,u,0,na
enc0:2d_dobj,kmA,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,d,d,a,0,na
enc0:2d_poss,kmA,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,d,d,g,0,na
enc0:2d_pron,kmA,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,d,d,u,0,na
enc0:2fp_dobj,kn,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,p,d,a,0,na
enc0:2fp_poss,kn,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,p,d,g,0,na
enc0:2fp_pron,kn,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,p,d,u,0,na
enc0:2fs_dobj,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,s,d,a,0,na
enc0:2fs_poss,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,s,d,g,0,na
enc0:2fs_pron,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,f,s,d,u,0,na
enc0:2mp_dobj,km,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,p,d,a,0,na
enc0:2mp_poss,km,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,p,d,g,0,na
enc0:2mp_pron,km,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,p,d,u,0,na
enc0:2ms_dobj,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,s,d,a,0,na
enc0:2ms_poss,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,s,d,g,0,na
enc0:2ms_pron,k,NOM,pron,clitic,0,0,0,0,2,na,na,na,m,s,d,u,0,na
enc0:3d_dobj,hmA,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,d,d,a,0,na
enc0:3d_poss,hmA,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,d,d,g,0,na
enc0:3d_pron,hmA,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,d,d,u,0,na
enc0:3fp_dobj,hn,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,p,d,a,0,na
enc0:3fp_poss,hn,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,p,d,g,0,na
enc0:3fp_pron,hn,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,p,d,u,0,na
enc0:3fs_dobj,hA,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,s,d,a,0,na
enc0:3fs_poss,hA,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,s,d,g,0,na
enc0:3fs_pron,hA,NOM,pron,clitic,0,0,0,0,3,na,na,na,f,s,d,u,0,na
enc0:3mp_dobj,hm,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,p,d,a,0,na
enc0:3mp_poss,hm,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,p,d,g,0,na
enc0:3mp_pron,hm,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,p,d,u,0,na
enc0:3ms_dobj,h,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,s,d,a,0,na
enc0:3ms_poss,h,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,s,d,g,0,na
enc0:3ms_pron,h,NOM,pron,clitic,0,0,0,0,3,na,na,na,m,s,d,u,0,na
enc0:Ah_voc,Ah,PRT,part_voc,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:lA_neg,lA,PRT,part_neg,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:mA_interrog,mA,NOM,pron_interrog,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:mA_rel,mA,NOM,pron_rel,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:mA_sub,mA,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:ma_interrog,mA,NOM,pron_interrog,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:ma_interrog,m,NOM,pron_interrog,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:ma_rel,m,NOM,pron_rel,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:ma_sub,m,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:man_interrog,mn,NOM,pron_interrog,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
enc0:man_rel,mn,NOM,pron_rel,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc0:lA_neg,lA,PRT,part_neg,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc0:mA_neg,mA,PRT,part_neg,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc0:mA_part,mA,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc0:mA_rel,mA,NOM,pron_rel,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:bi_part,b,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:bi_prep,b,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:fiy_prep,fy,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:hA_dem,hA,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:ka_prep,k,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:la_emph,l,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:la_prep,l,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:la_rc,l,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:li_jus,l,PRT,part_verb,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:li_conj,l,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:li_sub,l,PRT,conj_sub,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:li_prep,l,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:sa_fut,s,PRT,part_fut,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:ta_prep,t,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:wA_voc,wA,PRT,part_voc,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:wa_prep,w,PRT,prep,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc1:yA_voc,yA,PRT,part_voc,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:fa_conj,f,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:fa_conn,f,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:fa_rc,f,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:fa_sub,f,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:wa_conj,w,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:wa_part,w,PRT,part,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc2:wa_sub,w,PRT,conj,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na
prc3:>a_ques,>,PRT,part_interrog,clitic,0,0,0,na,na,na,na,na,na,na,na,na,0,na